PT2970482,TREATMENT OF CANCER USING HUMANIZED ANTI-CD19 CHIMERIC ANTIGEN RECEPTOR,"['BROGDON JENNIFER NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH INC', 'CARL H JUNE', 'LOEW ANDREAS NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH INC', 'MARCELA MAUS', 'JOHN SCHOLLER']"
PT2439273,HUMAN MONOCLONAL ANTIBODIES TO PROGRAMMED DEATH 1(PD-1) AND METHODS FOR TREATING CANCER USING ANTI-PD-1 ANTIBODIES ALONE OR IN COMBINATION WITH OTHER IMMUNOTHERAPEUTICS,"['MOHAN SRINIVASAN', 'CHANGYU WANG', 'BING CHEN', 'JOSEPHINE M CARDARELLI', 'HAICHUN HUANG', 'ALAN J KORMAN', 'MARK J SELBY']"
PT3107914,"PYRAZOLO[1,5-A]PYRIMIDINE-5,7-DIAMINE COMPOUNDS AS CDK INHIBITORS AND THEIR THERAPEUTIC USE","['ALEXANDER BONDKE', 'SEBASTIAN KROLL', 'ANTHONY BARRETT', 'MATTHEW FUCHTER', 'BRIAN SLAFER', 'SIMAK ALI', 'CHARLES COOMBES', 'JAMES PATRICK SNYDER']"
PT3154578,"PREPARATION METHODS FOR A NOVEL GENERATION OF BIOLOGICAL SAFE KLH PRODUCTS USED FOR CANCER TREATMENT, FOR THE DEVELOPMENT OF CONJUGATED THERAPEUTIC VACCINES AND AS CHALLENGING AGENTS","['THOMAS STIEFEL', 'ORTWIN KOTTWITZ', 'SHAMMANA N MUDDUKRISHNA']"
CA3060564,COMPOSES DE PHENYL-2-HYDROXY-ACETYLAMINO-2-METHYL-PHENYLE,"['CIFUENTES-GARCIA MARTA MARIA', 'GARCIA-PAREDES MARIA CRISTINA']"
CA3060597,DERIVES DE PHENYLE UTILISES EN TANT QUE MODULATEURS DES RECEPTEURS DES PGE2,"['BOSS CHRISTOPH', 'CORMINBOEUF OLIVIER', 'FRETZ HEINZ', 'LYOTHIER ISABELLE', 'POZZI DAVIDE', 'RICHARD-BILDSTEIN SYLVIA', 'SIENDT HERVE', 'SIFFERLEN THIERRY']"
CA3060516,POLYTHERAPIE A BASE D'UN VIRUS DE LA VACCINE ONCOLYTIQUE ET D'UN INHIBITEUR DE POINT DE CONTROLE,"['KIM CHAN', 'JEON HONGJAE', 'MOON EUN', 'CHI SUNGKUON', 'CHOI JIWON', 'JUNG JOON-GOO', 'BAE JUNGU']"
PT3097121,ANTIBODY MOLECULES TO PD-1 AND USES THEREOF,"['WALTER BLATTLER', 'HWAI WEN CHANG', 'ARLENE H SHARPE', 'GORDON JAMES FREEMAN', 'JENNIFER MARIE MATARAZA', 'CATHERINE ANNE SABATOS-PEYTON', 'GERHARD JOHANN FREY']"
PT2303021,COMPOUNDS FOR THE TREATMENT OF CANCER,"['DUANE D MILLER', 'WEI LI', 'ZHAO WANG', 'YAN LU', 'JIANJUN CHEN', 'JAMES T DALTON', 'CHIEN-MING LI']"
AU2018278730,A novel anti-c-Met antibody and use thereof,"['MOON SEUNG KEE', 'LEE KYUNG WOO', 'JEON EUN JU', 'AN KI YOUNG', 'CHOI EUN SU']"
AU2018268304,Anti-SIRPa antibodies,"['VERHEIJDEN GIJSBERTUS FRANCISCUS MARIA', 'ROUWENDAL GERARD', 'ARENDS ROLAND JAN', 'VAN DEN BERG TIMO KARS', 'MATLUNG HANKE LOTTIE', 'FRANKE KATARINA']"
AU2018263298,Method for cancer prognosis,"['BEBAWY MARY', 'RAJEEV KRISHNAN SABNA']"
AU2018261750,Type I and type III interferon fusion molecules and methods for use thereof,"['KOTENKO SERGEI V', 'DURBIN JOAN', 'DAVRA VIRALKUMAR RAMESHKUMAR']"
AU2018266881,Newcastle disease viruses and uses thereof,"['PALESE PETER', 'GARCIA-SASTRE ADOLFO', 'ZAMARIN DMITRIY', 'SADEKOVA SVETLANA', 'ALTURA RACHEL ALLISON', 'PHAN UYEN', 'HAINES BRIAN B', 'WOLCHOK JEDD D']"
AU2018267092,Anti-IL-1R3 antibodies for use in inflammatory conditions,"['FISCHER STEPHAN', 'BECKMANN KARSTEN']"
AU2019253864,TEM8 ANTIBODIES AND THEIR USE,"['DIMITROV DIMITER', 'ZHU ZHONGYU', 'ST CROIX BRAD', 'ZUDAIRE ENRIQUE', 'SAHA SAURABH', 'ZHANG XIAOYAN MICHELLE', 'DECRESCENZO GARY', 'WELSCH DEAN']"
AU2019241339,Anti-PD-L1 antibodies and uses thereof,"['FANG LEI', 'WANG YONGQIANG', 'WANG ZHENGYI', 'GUO BINGSHI', 'ZANG JINGWU']"
AU2019257385,PIPERIDIN-4-YL AZETIDINE DERIVATIVES AS JAK1 INHIBITORS,"['HUANG TAISHENG', 'XUE CHU-BIAO', 'WANG ANLAI', 'KONG LING', 'YE HAI FEN', 'YAO WENQING', 'RODGERS JAMES D', 'SHEPARD STACEY', 'WANG HAISHENG', 'SHAO LIXIN', 'LI HUI-YIN', 'LI QUN']"
AU2018283039,B-cell maturation antigen (BCMA)-directed nanoparticles,"['DETAPPE ALEXANDRE', 'GHOBRIAL IRENE', 'REIDY MAIREAD', 'GHOROGHCHIAN PETER']"
AU2018269194,Bicistronic chimeric antigen receptors and their uses,"['QIN HAIYING', 'MACKALL CRYSTAL L', 'FRY TERRY J']"
AU2018258100,Variants of human BMP7 protein,"['PANCOOK JAMES DAVID', 'ROWLINSON SCOTT WILLIAM', 'STANCATO LOUIS FRANK']"
AU2018258663,Treatment of HER2 positive cancers,"['PETERSON SCOTT', 'WALKER LUKE']"
AU2018258495,Ready-to-use cryopreserved cells,"['TOMISHIMA MARK', 'WONG KAREN']"
AU2018254626,Oncolytic vaccinia virus and checkpoint inhibitor combination therapy,"['KIM CHAN', 'JEON HONGJAE', 'MOON EUN SANG', 'CHI SUNGKUON', 'CHOI JIWON SARAH', 'JUNG JOON-GOO', 'BAE JUNGU']"
AU2018258338,Nrf and HIF activators/HDAC inhibitors and therapeutic methods using the same,"['GAISINA IRINA', 'KOZIKOWSKI ALAN']"
AU2018254526,"Neoantigen identification, manufacture, and use","['BOUCHER THOMAS', 'BULIK-SULLIVAN BRENDAN', 'BUSBY JENNIFER', 'YELENSKY ROMAN']"
WO2019215488,FORMULATIONS ET MTHODES POUR LE TRAITEMENT DE CANCERS,['empty']
WO2019217332,"PROTINE DE LIAISON AU NKG2D, AU CD16 ET  UN ANTIGNE ASSOCI  UNE TUMEUR","['CHANG GREGORY', 'CHEUNG ANN', 'DU JINYAN', 'GRINBERG ASYA', 'HANEY WILLIAM', 'LUNDE BRADLEY', 'PRINZ BIANKA']"
WO2019217606,PETITES MOLCULES FLUORESCENTES ACTIVABLES DANS L'IR PROCHE PRSENTANT UN DOUBLE MODE DE CYTOTOXICIT,"['HARTMAN MATTHEW', 'MITRA KOUSHAMBI']"
WO2019214691,"COMPLEXE MTALLIQUE DE GROUPE PRINCIPAL, SON PROCD DE PRPARATION ET SES UTILISATIONS","['ZHANG JUNLONG', 'YIN HAOYAN', 'WANG BINGWU']"
WO2019217972,INHIBITEURS DE KDM1A POUR LE TRAITEMENT D'UNE MALADIE,"['TAPPER AMY', 'CELATKA CASSANDRA', 'CLARE MICHAEL', 'REINHOFF JR']"
WO2019217956,MODIFICATION DE CELLULES IMMUNITAIRES POUR AUGMENTER L'ACTIVIT,"['KAUFMAN DAN', 'ZHU HUANG']"
WO2019217877,COMPOSITIONS ET PROCDS D'IDENTIFICATION DE CELLULES CANCREUSES,"['CRUDGINGTON ALLYSON', 'DINKELMANN MARIA', 'GORMAN KEVIN', 'GUERRANT ANGY', 'MORLEY STEPHANIE', 'VERBRUGGHE KOEN', 'WEGNER CASEY']"
WO2019217572,RLE DE PVT1 DANS LE DIAGNOSTIC ET LE TRAITEMENT DU CANCER PROVQQU PAR MYC,['BAGCHI ANINDYA']
WO2019217581,PERTE DE MUTL PRDISANT LA SENSIBILIT  DES INHIBITEURS DE CDK4/6 DANS LE CANCER,"['HARICHARAN SVASTI', 'ELLIS MATTHEW', 'ANURAG MEENAKSHI', 'BAINBRIDGE MATTHEW']"
WO2019217547,BIO-INGNIERIE DE STRUCTURES LYMPHODES TERTIAIRES  L'AIDE D'HYDROGELS  BASE DE CHITOSANE,"['MUL JAMES', 'FALAHAT RANA', 'ZHU GENYUAN']"
WO2019217537,"PROCDS DESTINS  UNE PRDICTION PRCOCE,  UNE SURVEILLANCE DE RPONSE A UN TRAITEMENT, DE RCIDIVE ET DE PRONOSTIC D'UN CANCER DU SEIN","['LIN RUO-KAI', 'HUNG CHIN-SHENG', 'WANG SHENG-CHAO', 'CHUNG YU-MEI', 'SU CHIH-MING']"
WO2019215702,"ANTICORPS ANTI-FAMILLE  SIMILARIT DE SQUENCE 19, MEMBRE A5, ET LEUR PROCD D'UTILISATION","['KIM BONGCHEOL', 'KIM WONKYUM', 'YOON JEONGWON', 'CHUNG JUNHO', 'JIN JUNYEONG', 'YOU EUNHWOI']"
WO2019217522,MTHODES DE TRAITEMENT DU CANCER DE L'OVAIRE,"['KAUFMANN SCOTT H', 'WEROHA SARAVUT J', 'MCGEHEE CORDELIA D', 'HURLEY RACHEL M', 'VENKATACHALAM ANNAPOORNA', 'WAHNER HENDRICKSON ANDREA E', 'BAKKUM-GAMEZ JAMIE']"
WO2019217421,INHIBITEURS  PETITES MOLCULES DE CDK12/CDK13,"['ROUSH WILLIAM', 'DUCKETT DEREK', 'MONASTYRSKYI ANDRII']"
WO2019217250,"COMPOSITIONS DE COMBINAISON COMPRENANT DES COMPOSS DE BISFLUOROALKYLE-1,4-BENZODIAZPINONE ET LEURS PROCDS D'UTILISATION",['DAVIS MATTI']
WO2019216477,DVELOPPEMENT ET APPLICATION D'UNE SONDE RADIOACTIVE DE DIAGNOSTIC DE TUMEUR CIBLANT UN RCEPTEUR D'ACIDE FOLIQUE,"['YOO JEONG SOO', 'LEE WOONG HEE']"
WO2019216360,AGENT PROPHYLACTIQUE OU THRAPEUTIQUE CONTRE LE CANCER DE LA PROSTATE,"['KOSAKA TAKEO', 'HONGO HIROSHI', 'OYA MOTOTSUGU']"
WO2019215585,"COMPOSITIONS COMPRENANT DES INHIBITEURS DE CD20 ET DES COMPOSS DE BISFLUOROALKYL-1,4-BENZODIAZPINONE ET LEURS PROCDS D'UTILISATION",['MAMLUK RONI']
WO2019214587,COMPOS DE DFACTINIB DEUTR ET SON UTILISATION,"['DU WU', 'LI YU', 'WEN KUN', 'LI XINGHAI', 'CHEN YUANWEI']"
WO2019214634,INHIBITEURS DE RCEPTEURS ERBB,"['LI ZHENGTAO', 'ZHONG WEI', 'WANG JIABING', 'ZENG QINGBEI', 'TSUI HONCHUNG', 'YANG ZHENFAN', 'ZHANG XIAOLIN']"
WO2019217457,MTHODES DE TRAITEMENT DU CANCER AU MOYEN D'UNE COMBINAISON D'UN CONJUGU DE MEDICAMENT ANTICORPS ANTI-PD-1 ET ANTICORPS ANTI-FACTEUR TISSULAIRE,"['RANGWALA RESHMA ABDULLA', 'BREIJ ESTHER C W', 'VERPLOEGEN SANDRA', 'ABIDOYE OYEWALE O', 'NICACIO LEONARDO VIANA', 'CAO ANTHONY', 'GARDAI SHYRA']"
WO2019217486,MTHODES ET COMPOSITIONS DE DTECTION DU MYLOME,"['LANDGREN CARL OLA', 'HULTCRANTZ MALIN', 'PAPAEMMANUIL ELLI']"
WO2019217509,COMPOSITIONS ET MTHODES POUR LE TRAITEMENT DU CANCER,"['BELLAIL ANITA', 'HAO CHUNHAI', 'LO HO YIN']"
WO2019217954,MATRICES D'HYDROGEL BIOSENSIBLES ET PROCDS D'UTILISATION,['GU ZHEN']
WO2019217837,RCEPTEURS DE LYMPHOCYTES T CIBLANT LES MUTATIONS PIK3CA ET LEURS UTILISATIONS,"['KLEBANOFF CHRISTOPHER', 'CHANDRAN SMITA']"
WO2019217833,ANTICORPS MONOCLONAUX QUI ACTIVENT CD40 ET LEURS UTILISATIONS,"['CHAO CHENG-CHI', 'CHEN CHANG-HSIN', 'ZHANG GLORIA', 'YAN GUOCHEN']"
WO2019217145,ANTICORPS ANTI-DLL3 ET LEURS UTILISATIONS,"['WANG MINGHAN', 'ZOU HUI', 'JIA HAIQUN']"
WO2019216653,"COMPOS AYANT UNE NOUVELLE STRUCTURE, COMPLEXE LE COMPRENANT, COMPOSITION PHARMACEUTIQUE ANTICANCREUSE ET MDICAMENT ANTICANCREUX","['CHANG YONG MIN', 'CHANG SHA JOUNG', 'KIM YEOUN HEE', 'ISLAM MD KAMRUL']"
WO2019213689,DTERMINATION DE LA RACTIVIT D'UN CANCER  UN TRAITEMENT,"['BURGESS JOSHUA T', 'BOLDERSON EMMA', 'RICHARD DEREK J', ""O'BYRNE KENNETH J""]"
WO2019217831,MTHODES D'IDENTIFICATION DE RCEPTEURS DE LYMPHOCYTES T SPCIFIQUES D'UN ANTIGNE,"['KLEBANOFF CHRISTOPHER A', 'CHANDRAN SMITA S']"
WO2019217933,"INHIBITEURS DE L'ONCOPROTINE RAS, LEURS PROCDS DE PRPARATION ET LEURS MTHODES D'UTILISATION","['CLARK GEOFFREY', 'TRENT JOHN', 'BURLSON JOSEPH']"
WO2019217951,MTHODE POUR RENFORCER LA RPONSE IMMUNITAIRE HUMAINE,"['YU CHENG-DER TONY', 'YU PEIWEN', 'YANG MING-CHEN', 'LIN YU-CHING', 'OU CHIEN-CHIH']"
WO2019217918,VALUATION DU RISQUE D'AMPLIFICATION DE MSAPPARIEMENT OPTIMISE MULTIPLEXE (MOMA)-CANCER AVEC DES CIBLES ASSOCIES NON CANCREUSES,"['MITCHELL AOY', 'STAMM KARL']"
WO2019217898,INHIBITEURS DE CCL21 ET DE POINTS DE CONTRLE POUR LE TRAITEMENT DU CANCER,"['DUBINETT STEVEN M', 'LEE JAY MOON', 'LIU BIN', 'SALEHI-RAD RAMIN', 'SHARMA SHARVENDRA']"
WO2019217455,MTHODES DE TRAITEMENT DU CANCER  L'AIDE D'UNE COMBINAISON D'UN ANTICORPS ANTI-PD-1 ET D'UN CONJUGU ANTICORPS ANTI-FACTEUR TISSULAIRE-MDICAMENT,"['RANGWALA RESHMA ABDULLA', 'BREIJ ESTHER C W', 'VERPLOEGEN SANDRA', 'ABIDOYE OYEWALE O', 'NICACIO LEONARDO VIANA', 'CAO ANTHONY', 'GARDAI SHYRA']"
WO2019216489,COMPOSITION PHARMACEUTIQUE POUR LA PRVENTION OU LE TRAITEMENT DU CANCER,"['CHEONG JAE HO', 'PARK KI CHEONG']"
WO2019216465,COMPOSITION POUR LA PRVENTION DU CANCER DU SEIN COMPRENANT UN DIPEPTIDE CYCLIQUE ET SES PROCDS DE PRPARATION,"['KWAK MINKYU', 'LIU RUI', 'KANG SAOUK']"
WO2019217631,MTHODE DE TRAITEMENT DU CANCER AVEC DES DRIVS D'ATPENIN A5,"['TRIPPIER PAUL', 'BROOKES PAUL']"
WO2019214492,UTILISATION D'UN CONJUGU ANTICORPS-MDICAMENT ANTI-HER2 DANS LE TRAITEMENT DU CANCER,"['SONG HONGMEI', 'YUAN XIAOXI', 'WANG JING', 'XIAO LIANG', 'XUE TONGTONG', 'LIU PING', 'WANG LICHUN', 'WANG JINGYI']"
WO2019216649,NOUVELLE SOUCHE AYANT UN EFFET PROPHYLACTIQUE OU THRAPEUTIQUE SUR LE CANCER,"['PARK HANSOO', 'PARK SHINYOUNG', 'LEE EUN JU', 'YEON JAE-SUNG', 'JEON HYE HEE', 'KIM WONDUCK', 'CHUNG JOO-YEON', 'JEONG AREUM', 'HOUH YOUN KYUNG', 'SOHN JINYOUNG', 'KIM YUN YEON', 'KIM SANG GYUN', 'LEE SURO']"
WO2019213686,COMPOSITIONS THRAPEUTIQUES ET LEURS UTILISATIONS,"['SMYTH MARK', 'NAKAMURA KYOHEI']"
WO2019214328,APPLICATION DU GNE LARP7 DANS LE DIAGNOSTIC ET LE TRAITEMENT DU CANCER,['ZHANG BING']
WO2019213706,ADMINISTRATION DE MDICAMENT BASE SUR DES VSICULES EXTRACELLULAIRES,"['DUAN WEI', 'TRAN PHUONG']"
US10471032,Substituted glutaurine compounds and substituted glutaurine derivatives,"['KRAMER RONALD', 'NIKOLAIDIS ALEXANDER']"
US10471159,"Diagnosis, removal, or mechanical damaging of tumor using plasmonic nanobubbles","['LAPOTKO DMITRI O', 'HLEB KATSIARYNA']"
HK1257472,"CANCER CELL DETECTION AND IMAGING SYSTEM, PROCESS AND PRODUCT","['CHENG KA WING', 'HUI KOON CHUNG', 'KONG CHING TOM']"
HK1257467,"CANCER CELL DETECTION AND IMAGING SYSTEM, PROCESS AND PRODUCT","['CHENG KA WING', 'HUI KOON CHUNG', 'KONG CHING TOM']"
CA3060416,THERAPIES D'ASSOCIATION AVEC DES INHIBITEURS D'EHMT2,"['CAMPBELL JOHN EMMERSON', 'DUNCAN KENNETH WILLIAM', 'RAIMONDI MARIA ALEJANDRA', 'KLAUS CHRISTINE', 'PENEBRE ELAYNE']"
CA3060509,CIBLAGE DE CELLULES SOUCHES CANCEREUSES HYPOXIQUES (CSC) A L'AIDE DE DOXYCYCLINE : IMPLICATIONS POUR AMELIORER UNE THERAPIE ANTI-ANGIOGENIQUE,"['SOTGIA FEDERICA', 'LISANTI MICHAEL P']"
CA3060316,"FORMULATIONS, PROCEDES, TROUSSES ET FORMES PHARMACEUTIQUES POUR TRAITER LA DERMATITE ATOPIQUE ET POUR AMELIORER LA STABILITE D'UN COMPOSANT PHARMACEUTIQUE ACTIF","['RAILKAR ARUNA', 'JARIWALA PARAS', 'PHUAPRADIT WANTANEE', 'ZAMMIT DAVID', 'DENIS LOUIS', 'RAO NIRANJAN', 'USANSKY HELEN', 'GUPTA SANDEEP']"
CA3060892,DERIVES D'AZITHROMYCINE CONTENANT UN ION PHOSPHONIUM UTILISES EN TANT QU'AGENTS ANTICANCEREUX,"['SPAREY TIM', 'RATCLIFFE ANDREW', 'STEVENSON BRETT', 'LAGASSE FRANZ', 'COCHRANE EDWARD']"
CA3060390,METHODES D'UTILISATION DE DERIVES DE BENZOTRIAZOLE TRISUBSTITUES EN TANT QU'INHIBITEURS DE DIHYDROOROTATE OXYGENASE,"['NELLORE KAVITHA', 'HOSAHALLI SUBRAMANYA']"
CA3060503,"LANTIBIOTIQUES, BACTERIES PRODUISANT UN LANTIBIOTIQUE, COMPOSITIONS ET PROCEDES DE PRODUCTION ET LEUR UTILISATION","['PAMER ERIC', 'KIM SOHN', 'MCKENNEY PETER', 'CABALLERO SILVIA']"
CA3060510,VITAMINE C ET DOXYCYCLINE : POLYTHERAPIE LETALE SYNTHETIQUE POUR ERADIQUER DES CELLULES SOUCHES CANCEREUSES (CSC),"['LISANTI MICHAEL P', 'SOTGIA FEDERICA']"
CA3060569,"IDENTIFICATION DE NEOANTIGENES, FABRICATION ET UTILISATION","['BOUCHER THOMAS', 'BULIK-SULLIVAN BRENDAN', 'BUSBY JENNIFER', 'YELENSKY ROMAN']"
